blind_id	r_class	labels	note
aa4ca4005a	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
ab7a1bf800	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
ad31bd679b	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
af043a7c98	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
b08b57da51	R3	R3	内容を理由にした deny（重複・過剰・無変更）
b22683ddb2	R3	R3	内容を理由にした deny（重複・過剰・無変更）
b35f83ec9b	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
b35fb98b67	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
b433ae9f94	R2	R2	場所そのものだけを理由にした deny
b68afd2e87	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
b8117911da	R3	R3	内容を理由にした deny（重複・過剰・無変更）
c0aa52de9e	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
c0ca67ba1f	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
c14365c139	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
c16828bc06	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
c6894c97d8	R3	R3	内容を理由にした deny（重複・過剰・無変更）
c72909537d	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
c77af142dd	R1	R1;R2;R3	許可記述の不在 + 場所 + 内容の過剰
cabf77a504	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
cc0fe4837a	R3	R3	内容を理由にした deny（重複・過剰・無変更）
cc33ea78c9	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
cff76637d8	R1	R1;R2;R3	許可記述の不在 + 場所 + 内容の過剰
d4aad5722c	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
d817d9836d	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
db0faf165b	R1	R1;R3	許可記述の不在 + 内容の過剰
dc68318721	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
e02855ee7d	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
e19754aab0	R4	R4	事前確認の手続きのみを理由にした deny
e1a897fa2c	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
e37c07796f	R3	R3	内容を理由にした deny（重複・過剰・無変更）
e3e12032c8	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
e87ef7e55f	R2	R2;R4	場所 + 事前確認の手続き。許可記述の不在には触れていない
e99d03f03c	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
f33a394d97	R3	R3	内容を理由にした deny（重複・過剰・無変更）
f39440e8ae	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
f5dda17c70	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
f9ebe573a3	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
fbe181dc14	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
fd222a29f3	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
fd951f92d7	R3	R3	内容を理由にした deny（重複・過剰・無変更）
fdb4751fc0	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
fe56602151	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
