blind_id	level	material_id	cluster	rep	kind	orig_batch	orig_group	machine_b	orig_folded
6596fb0624a97847	i	hallucguard2/search-selfplan-r5/prt_f08a68cad00109Tv0y0hXVx4nZ#r2	hallucguard2/search-selfplan-r5	2	bash_workdir_outside	8	06-10	0	u
65b8efa2231aacd3	iv	agentsheur/search-selfplan-r5/prt_e7f9b72230011Rk2hCmor261ef#r3	agentsheur/search-selfplan-r5	3	parent_repo_write	8	06-10	0	d
6d8279a38f53e0ef	i	agentsheur/search-selfplan-r5/prt_e7f9b57ce001SjydBTCYFGklTk#r2	agentsheur/search-selfplan-r5	2	parent_repo_write	9	06-10	0	u
6e6bd89a801849ca	iv	hallucguard1_rerun/page-selfplan-r4/prt_f0b625aee0016vQNohHOAc3Gne#r1	hallucguard1_rerun/page-selfplan-r4	1	parent_repo_write	9	06-10	1	b
72d72b03b0972c89	i	hallucguard2/disk-selfplan-r1/prt_f094f3eaa001C5D4rDt2845S8f#r3	hallucguard2/disk-selfplan-r1	3	bash_workdir_outside	9	06-10	0	u
7697fa452d78a090	iv	m31p100/disk-selfplan-r3/prt_ee9d87f0e001tio6S5n7vtSS6G#r3	m31p100/disk-selfplan-r3	3	parent_repo_write	9	06-10	1	b
77d6a6dbec5188ab	i	hallucguard3/search-selfplan-r5/prt_f0c737a74001t0jRNrLdJWlCKA#r3	hallucguard3/search-selfplan-r5	3	parent_repo_write	10	06-10	0	u
7ac58b04c5793b68	iv	hallucguard2/search-selfplan-r5/prt_f08a68cad00109Tv0y0hXVx4nZ#r2	hallucguard2/search-selfplan-r5	2	bash_workdir_outside	10	06-10	0	d
7bbb53b3c29d38c6	i	m30/disk-selfplan-r1/prt_edcc389ff001NyPC10QxvE7Y6i#r3	m30/disk-selfplan-r1	3	parent_repo_write	10	06-10	0	a
7f21b99b642db5bf	iv	hallucguard2/page-selfplan-r4/prt_f08ffe9c8001qYBAsaZ4qn43h7#r1	hallucguard2/page-selfplan-r4	1	plan_doc_parent	10	06-10	0	a
83eb7b7409c71ac3	i	hallucguard2/search-selfplan-r5/prt_f08a61589001GKLAhke2P3NnlL#r2	hallucguard2/search-selfplan-r5	2	bash_workdir_outside	11	11-15	0	a
88128a2731fd598a	i	hallucguard1_rerun/page-selfplan-r4/prt_f0b62b43c001hDf71sjEfeRyqk#r3	hallucguard1_rerun/page-selfplan-r4	3	parent_repo_write	11	11-15	0	d
88526382c4a9d94a	iv	m30/disk-selfplan-r1/prt_edcc389ff001NyPC10QxvE7Y6i#r2	m30/disk-selfplan-r1	2	parent_repo_write	11	11-15	1	b
8bb769c72cdf6d7d	iv	baseline_scen_v2/page-selfplan-r9/prt_f10a27365001Or2OnRxH5spoxA#r2	baseline_scen_v2/page-selfplan-r9	2	bash_workdir_outside	11	11-15	0	d
8fe5538190520477	iv	hallucguard2/disk-selfplan-r1/prt_f094e50c4001pGSsMJ6qARuXI4#r3	hallucguard2/disk-selfplan-r1	3	bash_workdir_outside	11	11-15	0	d
913ac15f86effd29	i	hallucguard2/search-selfplan-r1/prt_f085bad54001Q5KNAFwROQcX9G#r2	hallucguard2/search-selfplan-r1	2	parent_repo_write	12	11-15	0	a
977ec3e5c3c442d9	iv	m32/page-selfplan-r4/prt_f03eb0169001xpIfJxQ6378J3L#r2	m32/page-selfplan-r4	2	parent_repo_write	12	11-15	0	u
9dc0ec9914c36a63	iv	baseline_scen_v2/page-selfplan-r9/prt_f10a1930f001shhRqf875r7yIg#r3	baseline_scen_v2/page-selfplan-r9	3	parent_repo_write	12	11-15	0	d
a04e06473f351a0d	i	hallucguard2/disk-selfplan-r1/prt_f094f3eaa001C5D4rDt2845S8f#r2	hallucguard2/disk-selfplan-r1	2	bash_workdir_outside	13	11-15	0	u
a3907072a02bb0d1	iv	reportconv/page-givenplan-r3/prt_eb1a5d51200113NtEr6d3hdjnz#r1	reportconv/page-givenplan-r3	1	plan_doc_parent	13	11-15	0	u
a581b4efaba2fe7e	i	hallucguard2/search-selfplan-r5/prt_f08a61589001GKLAhke2P3NnlL#r3	hallucguard2/search-selfplan-r5	3	bash_workdir_outside	13	11-15	0	a
a750ff3c8b2d870f	iv	hallucguard2/search-selfplan-r1/prt_f085935cc001zGQhVNMYPypE8U#r1	hallucguard2/search-selfplan-r1	1	plan_doc_parent	13	11-15	1	b
ab7329ecd7211356	i	m31p100/disk-selfplan-r3/prt_ee9d9114a001o9H2aYcf8gQM1m#r1	m31p100/disk-selfplan-r3	1	parent_repo_write	13	11-15	0	u
b43cda272f08a693	i	hallucguard3/page-selfplan-r4/prt_f0ce99b4d001k8ylkzxoDrrKWo#r2	hallucguard3/page-selfplan-r4	2	plan_doc_parent	14	11-15	0	a
b5d683bf01878e2f	iv	hallucguard1_rerun/page-selfplan-r4/prt_f0b62b43c001hDf71sjEfeRyqk#r2	hallucguard1_rerun/page-selfplan-r4	2	parent_repo_write	14	11-15	0	d
bbf4502d2d4adc64	iv	m32/page-selfplan-r3/prt_f03c9b00c0016V9nox5CmARNmL#r2	m32/page-selfplan-r3	2	generated_artifact_copy	14	11-15	1	b
bcc635dbfde5c17a	i	hallucguard3/page-selfplan-r4/prt_f0ce83021001DKo5Iuz3qGKVbO#r2	hallucguard3/page-selfplan-r4	2	plan_doc_parent	14	11-15	0	a
bf8cae1e16d46c34	i	baseline_scen_v2/page-selfplan-r9/prt_f10a1930f001shhRqf875r7yIg#r1	baseline_scen_v2/page-selfplan-r9	1	parent_repo_write	15	11-15	0	u
bfa03c587009b95d	iv	featbenchm26/page-givenplan-r2/prt_e88ceba1c0018Q1TJ5cv002mbK#r3	featbenchm26/page-givenplan-r2	3	parent_repo_write	15	11-15	0	d
c29f3368c02272c4	i	baseline_scen_v2/page-selfplan-r2/prt_f104a7d87001SIybS63XfCpfff#r2	baseline_scen_v2/page-selfplan-r2	2	bash_workdir_outside	15	11-15	0	u
c3dc3a7cd85b0881	iv	hallucguard3/page-selfplan-r4/prt_f0ce99b4d001k8ylkzxoDrrKWo#r1	hallucguard3/page-selfplan-r4	1	plan_doc_parent	15	11-15	0	a
ca13251c8628ce1c	i	baseline_scen_v2/page-selfplan-r2/prt_f104994da001m7uY4EIIJ4uT2I#r1	baseline_scen_v2/page-selfplan-r2	1	bash_workdir_outside	16	16-20	0	d
ccadd612d90c3a77	iv	m30/disk-selfplan-r1/prt_edcc4b6b30013EtkconZK4SxF0#r2	m30/disk-selfplan-r1	2	bash_workdir_outside	16	16-20	0	d
ce527fb012cced9e	i	featbenchm26/page-givenplan-r2/prt_e88cf0c9b001R0CMz0YNac4jr5#r2	featbenchm26/page-givenplan-r2	2	parent_repo_write	16	16-20	0	u
d3799b2e15854bed	iv	hallucguard2/disk-selfplan-r1/prt_f094d2300001oqrfI34qT9j4Qq#r3	hallucguard2/disk-selfplan-r1	3	bash_workdir_outside	16	16-20	0	u
d5cd2b501bfde31d	i	hallucguard2/page-selfplan-r4/prt_f090044dd001fwHuJPWciaohin#r1	hallucguard2/page-selfplan-r4	1	plan_doc_parent	17	16-20	0	a
d7ac96a34d9e60ba	iv	hallucguard3/search-selfplan-r5/prt_f0c737a74001t0jRNrLdJWlCKA#r1	hallucguard3/search-selfplan-r5	1	parent_repo_write	17	16-20	0	u
db1f69745d00c1cf	iv	hallucguard2/disk-selfplan-r1/prt_f094f3eaa001C5D4rDt2845S8f#r3	hallucguard2/disk-selfplan-r1	3	bash_workdir_outside	17	16-20	0	u
dc810857d884e88f	i	hallucguard1/search-selfplan-r3/prt_f057db1c3001ssUq8aOabEHexe#r3	hallucguard1/search-selfplan-r3	3	parent_repo_write	17	16-20	0	u
e0622ff23f96d9b8	iv	m30/disk-selfplan-r1/prt_edcc4b6b30013EtkconZK4SxF0#r3	m30/disk-selfplan-r1	3	bash_workdir_outside	18	16-20	0	d
e298eaa71e45dace	i	m30/disk-selfplan-r1/prt_edcc3552c0014r4BkOFohEkEVR#r1	m30/disk-selfplan-r1	1	parent_repo_write	18	16-20	0	u
e58a72a0e420f8fc	i	hallucguard2/search-selfplan-r1/prt_f085935cc001zGQhVNMYPypE8U#r3	hallucguard2/search-selfplan-r1	3	plan_doc_parent	18	16-20	0	a
e5ebc932115d4e5f	iv	reportconv/page-givenplan-r3/prt_eb1ab2e23001GZa7ciL4v8YS3N#r3	reportconv/page-givenplan-r3	3	bash_workdir_outside	18	16-20	0	d
ea55b6b5742f1dfb	iv	featbenchm26/page-givenplan-r2/prt_e88cef82c001humdA3DmGj065N#r2	featbenchm26/page-givenplan-r2	2	parent_repo_write	19	16-20	0	d
ef472711bbfbf7d7	i	reportconv/page-givenplan-r3/prt_eb1a5d51200113NtEr6d3hdjnz#r2	reportconv/page-givenplan-r3	2	plan_doc_parent	19	16-20	0	u
f1e37b24e115adf3	iv	hallucguard3/page-selfplan-r4/prt_f0cf33394001h5GpcXkhCth6pz#r2	hallucguard3/page-selfplan-r4	2	bash_workdir_outside	19	16-20	0	u
f36989cbfefb9db1	i	hallucguard3/search-selfplan-r5/prt_f0c737a74001t0jRNrLdJWlCKA#r1	hallucguard3/search-selfplan-r5	1	parent_repo_write	19	16-20	0	u
f6ce0411b9a82841	iv	hallucguard2/disk-selfplan-r1/prt_f094d2300001oqrfI34qT9j4Qq#r1	hallucguard2/disk-selfplan-r1	1	bash_workdir_outside	20	16-20	0	u
faacb402b3db2de1	iv	m31p100/disk-selfplan-r3/prt_ee9d8944b0010ZLbpSo5im3efM#r3	m31p100/disk-selfplan-r3	3	parent_repo_write	20	16-20	0	d
fab6add6ebeb1bae	i	reportconv/page-givenplan-r3/prt_eb1ab2e23001GZa7ciL4v8YS3N#r3	reportconv/page-givenplan-r3	3	bash_workdir_outside	20	16-20	0	u
