id	level	tool	live_action	action	n_valid	quote_src_major	checklist_c	mech	mech_qf
p6l3_main_j2_run2/p6l3-l2r-selfplan-r9#3	L2	edit	allow	allow	2	task_body	unparsed	M2-body	M2-body
p6l3_main_j2_run2/p6l3-l2r-selfplan-r9#4	L2	bash	allow	None	2	nonverbatim	unparsed	None	None
p6l3_main_j2_run2/p6l3-l4-selfplan-r1#12	L4	edit	allow	allow	2	l4_abs_path	unparsed	M1b-abs_path	M1b-abs_path
p6l3_main_j2_run2/p6l3-l4-selfplan-r1#13	L4	bash	allow	allow	2	l4_abs_path	unparsed	M1b-abs_path	M1b-abs_path
p6l3_main_j2_run2/p6l3-l4-selfplan-r2#1	L4	edit	allow	allow	2	l4_abs_path	unparsed	M1b-abs_path	M1b-abs_path
p6l3_main_j2_run2/p6l3-l4-selfplan-r2#2	L4	bash	allow	allow	2	l4_abs_path	unparsed	M1b-abs_path	M1b-abs_path
p6l3_main_j2_run2/p6l3-l4-selfplan-r3#2	L4	edit	allow	allow	2	nonverbatim	unparsed	hold	hold
p6l3_main_j2_run2/p6l3-l4-selfplan-r3#3	L4	bash	allow	None	2	empty	unparsed	None	None
p6l3_main_j2_run2/p6l3-l4-selfplan-r3#4	L4	bash	allow	allow	2	nonverbatim	unparsed	hold	hold
p6l3_main_j2_run2/p6l3-l4-selfplan-r4#4	L4	edit	allow	allow	2	l4_abs_path	unparsed	M1b-abs_path	M1b-abs_path
p6l3_main_j2_run2/p6l3-l4-selfplan-r4#5	L4	bash	allow	None	2	l4_abs_path	unparsed	None	None
p6l3_main_j2_run2/p6l3-l4-selfplan-r5#1	L4	edit	allow	allow	2	nonverbatim	unparsed	hold	hold
p6l3_main_j2_run2/p6l3-l4-selfplan-r5#2	L4	bash	allow	allow	2	l4_abs_path	unparsed	M1b-abs_path	M1b-abs_path
