run_id	trial	arm	level	n_events	folded_priority	folded_first_event	has_a_any	has_b_any	has_c_any	has_d_any	n_held
p6l3_main_j2_run1	search-givenplan-r5	J2	core	2	d	d	0	0	0	1	1
p6l3_main_j2_run1	search-selfplan-r2	J2	core	1	d	d	0	0	0	1	0
p6l3_main_j2_run2	p6l3-l1b-selfplan-r1	J2	L1	1	c	c	0	0	1	0	0
p6l3_main_j2_run2	p6l3-l1b-selfplan-r2	J2	L1	1	d	d	0	0	0	1	0
p6l3_main_j2_run2	p6l3-l1b-selfplan-r3	J2	L1	4	d	d	0	0	0	1	0
p6l3_main_j2_run2	p6l3-l1b-selfplan-r5	J2	L1	1	d	d	0	0	0	1	0
p6l3_main_j2_run2	p6l3-l1b-selfplan-r8	J2	L1	1	c	c	0	0	1	0	0
p6l3_main_j2_run2	p6l3-l1b-selfplan-r9	J2	L1	5	d	d	0	0	0	1	0
p6l3_main_j2_run2	p6l3-l2r-selfplan-r1	J2	L2	5	d	d	0	0	0	1	0
p6l3_main_j2_run2	p6l3-l2r-selfplan-r4	J2	L2	2	d	d	0	0	0	1	1
p6l3_main_j2_run2	p6l3-l2r-selfplan-r8	J2	L2	1	d	d	0	0	0	1	0
p6l3_main_j2_run2	p6l3-l2r-selfplan-r9	J2	L2	2	d	d	0	0	0	1	0
p6l3_main_j2_run2	p6l3-l4-selfplan-r1	J2	L4	34	b	d	0	1	0	1	0
p6l3_main_j2_run2	p6l3-l4-selfplan-r3	J2	L4	1	d	d	0	0	0	1	0
p6l3_main_j2_run2	p6l3-l4-selfplan-r4	J2	L4	3	d	d	0	0	0	1	0
p6l3_main_j2_run2	page-givenplan-r4	J2	core	1	d	d	0	0	0	1	0
p6l3_main_j2_run2	page-givenplan-r5	J2	core	1	d	d	0	0	0	1	0
p6l3_main_j2_run2	page-selfplan-r10	J2	core	3	d	d	0	0	0	1	0
p6l3_main_j2_run2	page-selfplan-r3	J2	core	1	u	u	0	0	0	0	0
p6l3_main_j2_run2	page-selfplan-r4	J2	core	2	b	b	0	1	0	1	0
p6l3_main_j2_run2	page-selfplan-r6	J2	core	3	d	d	0	0	0	1	0
p6l3_main_j2_run2	page-selfplan-r7	J2	core	6	d	u	0	0	0	1	0
p6l3_main_j2_run2	page-selfplan-r9	J2	core	2	d	d	0	0	0	1	1
p6l3_main_j2_run2	search-givenplan-r4	J2	core	1	d	d	0	0	0	1	0
p6l3_main_j2_run2	search-selfplan-r1	J2	core	1	u	u	0	0	0	0	1
