blind_id	batch	group
78044570dbe55c46	10	C
7892ff05924a5351	01	A
78ff7319c34d72c9	05	B
79441b04b2e2fb34	09	C
7e0b645519b643a0	03	A
7e230d527c30659e	06	B
7e49f08ef5ff5567	11	C
7f58729c7bb4dde3	08	B
7f84e3399fe3c4ee	10	C
83c7e34b854d0ecd	04	A
84dd6ed0658179fb	07	B
855272c48a93af45	11	C
857d5badd87a6e9a	08	B
87181cfbe8bd960b	01	A
871bb2c570036ba7	08	B
891ba0c43a840243	02	A
89296f4dd8d2cc82	01	A
894b74d1dd6a7973	12	C
89e0540d0668e078	08	B
89eda0bcee81fa05	12	C
8a07dcee134f9fe4	02	A
8a0947e2d8d561f9	05	B
8b3470ccb33c9b07	09	C
8b6e454958f72531	03	A
8caf3d914fde046b	07	B
8cbf0723fc0542af	06	B
8e0bac100bd7b5d0	10	C
8e33e7daabb4ad21	12	C
8e5c7dc0c834a7d2	04	A
8e9f9a63b245f572	11	C
90293459f797ca36	08	B
90f16a3e43d38dac	07	B
9175786896f80db3	11	C
93f00f28559e0849	04	A
9461aef2161a3c84	05	B
95a5373123200c9f	01	A
9786b349f1a94262	12	C
980b2918be96ecdc	09	C
986b94a5612ae356	08	B
98861a82c15f08db	12	C
98d7849f7645e6c0	03	A
995d66339421b26b	02	A
9adbf1a48517488e	05	B
9ba6f5acdead8b2a	02	A
9d94ae028d6f4d56	05	B
9f7e728afdf92221	05	B
9fe79d26755bc9fc	11	C
a11e5671c64e206b	09	C
a14692dcd19b23f5	09	C
a2018f9822c9757c	03	A
a22216d2144ab8fb	04	A
a23a8015a4dd0070	06	B
a4973aa36d2ead34	01	A
a4e08958864b7721	05	B
a512a369c1d83432	12	C
a6f8385e39964e7f	03	A
a7042ca91edfdec5	01	A
a721e888cbd7997a	06	B
a812225b4d8f4a50	10	C
a8de70bed81dd587	09	C
a958e6ed17dc8949	04	A
aa8ccecc5b2ae990	09	C
aaaa1ec4d6547683	07	B
aaad8750b329390c	06	B
ac1d6ddd3e3db11a	01	A
addfbf7c4a5db944	10	C
adfb52a9ac37b59b	04	A
af7074d8e43214b0	11	C
afbe74bb61ce91e8	01	A
b0075b05ecdb30b5	08	B
b03d106e9b63b392	11	C
b0f650a40293b14c	06	B
b1f925de3f88114e	12	C
b51aa0145e1fe736	02	A
b557c8d2f7a3d4e1	02	A
b55a983ba261c6f6	05	B
b589accbdd996e1a	11	C
b593e5b121418a5a	02	A
b74c487826b84505	02	A
bb63150152342e9b	10	C
bb838e8cc8543151	07	B
bb988d9719ce4ea1	07	B
bd84cde726fa7175	09	C
c154bce7ef080187	03	A
c1edeea968de2b9e	10	C
c4793fb6a9b5112c	04	A
c5088846fffe6e10	08	B
c542ac7bbb2a911c	12	C
c5aeecec1dcecf84	06	B
c61e2c36382c1c40	04	A
c7a899b64fef3841	08	B
c7ff7ddaaadb339f	11	C
c90110070f074f0d	02	A
c9b2ddd275c95d7f	12	C
c9de650a8d50cbcb	03	A
ca9ea55d08528397	10	C
caccdbaf5c86996c	04	A
cb5ce40a56bcff84	07	B
ccd4985bd73908ab	06	B
cda0607684cfa5b5	10	C
cf312d792b1b5106	07	B
d03644bcd05daa1f	11	C
d0d4097539cb2189	01	A
d159a83bb5622a0c	03	A
d2708eaca48e8f24	07	B
d4e1767f940b04b9	08	B
d6a5053c58fac62e	01	A
d6b51d5a46be6f4a	11	C
d890b1775e39dcb1	08	B
d989ae4df5aadfd8	12	C
dae5e2317745609a	05	B
db88d23bab89f894	11	C
dd6fccbb70a8331f	02	A
ddc6161999f60df6	08	B
de8ad740bc435c6b	02	A
df67454e727c90c3	05	B
dfa661d536d04568	09	C
e05ea7a025b03355	01	A
e0ea9053764a1daa	08	B
e106758b6296c4c6	08	B
e127ea41e182761b	03	A
e1af866329bdd8ce	11	C
e3140f12ef826460	12	C
e4e773abcee308db	03	A
e5b9ec7bcea09ba0	06	B
e606ddea50cd676e	04	A
e83424961736c012	12	C
e9176b5be3356d53	05	B
ea49e1b783a9e35c	04	A
ebf806b15ccf631c	10	C
f007d5eb4b00e7fc	09	C
f10802c961995e58	03	A
f1a3e6c4f8540441	04	A
f3297ffa77ff20c8	07	B
f34cf258cb915816	11	C
f45b07aed9a3ca8d	05	B
f45e1fa7c6631403	01	A
f4c2959da6cb6610	09	C
f52c9258441533ed	05	B
f537ea76a84b6b42	08	B
f56d73d5457b19ce	12	C
f60474a17d83da9d	02	A
f7821da794eab66d	01	A
f80bfab0a8a5b827	05	B
f81f1bcd08399375	06	B
f82a0c54cd49efd2	05	B
f83642faebd7b9f8	09	C
f8856cbb2e292756	03	A
f9543894de38b53f	10	C
f97e66aff650d03f	09	C
f9e914ce41b2c30c	06	B
fab1baa932b7fb40	12	C
fc53fc75b036c56d	09	C
fc9992d7bc840425	10	C
fcbf52dc6ffa8f5b	02	A
fd842655b3959a70	04	A
fd84afbbf0197cfc	12	C
fdada84f5ccf1a73	04	A
fe74abc534935281	07	B
