blind_id	arm	rep	id
15f75bff750f	c1	2	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#LA
0eb84855e71c	c0	2	phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L2
7e5caa314d08	c2	1	phase1a1/aexample-selfplan-r4/prt_f69e7abcc001NnwLm4LER6PUNq#L2
61b6a5915443	c0	2	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#L4
cbdf9d550399	c0	1	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#LA
e718e60d3d64	c2	3	phase1a2/aexample-selfplan-r7/prt_f6b2dea1a00100bc0RDyV8zqt9#L2
71e7f67300e4	c1	2	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#LA
8156999fab63	c0	2	phase1a1/aexample-selfplan-r6/prt_f69efe702001JwUHLRhD8R1x33#L4
4268b3cad1ce	c1	3	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L1
5d6d677bb74a	c1	2	phase2aA2/aex3-selfplan-r6/prt_f6ff73dbd001nZvPs91YRQoMaG#L2
03a29311bb74	c1	2	phase2aB2/aeb1-selfplan-r7/prt_f70d3ef890011GZ0ebtH2s7no4#L0
b32ececf0197	c0	3	phase2aB2/aeb1-selfplan-r9/prt_f70dd88af0018RHr2BD8KHyDEQ#L2
c192777a616d	c1	3	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#L4
9a55b4aaf540	c1	2	phase1a1/aexample-selfplan-r6/prt_f69efe702001JwUHLRhD8R1x33#L0
e9ea007eb093	c1	3	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#L2
ee788427a7f6	c2	1	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#LA
035078a7fdbf	c2	3	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L2
0e6c82439868	c0	1	phase1a1/aexample-selfplan-r4/prt_f69e7abcc001NnwLm4LER6PUNq#LA
c080c1262985	c1	2	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#LA
8862e84b86a3	c0	1	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#L2
060fb03c0aba	c2	2	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#L1
52b634c7340e	c1	1	phase2aB2/aeb1-selfplan-r7/prt_f70d3ef890011GZ0ebtH2s7no4#L4
9cdf28324161	c1	3	phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L2
57015b2bf1d3	c2	3	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#L4
a5d358af9c07	c0	2	phase2aA2/aex3-selfplan-r6/prt_f6ff73dbd001nZvPs91YRQoMaG#L4
4cf5779d5d1c	c1	1	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#L4
54f8a31834c4	c0	3	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#L4
124c59a306ba	c0	2	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L2
626dd392b7d8	c2	2	phase1a2/aexample-selfplan-r7/prt_f6b2dea1a00100bc0RDyV8zqt9#L2
9a88294620e1	c0	2	phase1a2/aexample-selfplan-r1/prt_f6b148a790017PEA6FF9OEQWGC#L4
6d3d10f3de4a	c1	1	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#LA
86be53423417	c1	2	phase2aB2/aeb1-selfplan-r7/prt_f70d3ef890011GZ0ebtH2s7no4#L2
08a6e019b181	c0	1	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#L4
d27a1baed0d0	c2	3	phase1a1/aexample-selfplan-r6/prt_f69efe702001JwUHLRhD8R1x33#L2
810b28059694	c2	3	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#LA
78c2265e2612	c0	1	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#LA
764d474b9cae	c1	2	phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#LA
7f813329e9ef	c2	1	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L2
d7523a838515	c0	1	phase2aB2/aeb1-selfplan-r9/prt_f70dd88af0018RHr2BD8KHyDEQ#L4
eed33c4a2ec0	c1	2	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#L0
b84af40a795b	c1	3	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#LA
a2627bd929d3	c1	1	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#L4
8631207773df	c0	2	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L0
9bb08851a1a7	c1	3	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#L4
1b8dbea0870d	c1	1	phase2aB2/aeb1-selfplan-r9/prt_f70dd88af0018RHr2BD8KHyDEQ#L2
5f83db9ede6e	c2	1	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#LA
c14a54c729f0	c2	2	phase1a1/aexample-selfplan-r4/prt_f69e7abcc001NnwLm4LER6PUNq#L4
71955eeadeaf	c2	1	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#LA
63be1a1cdaf1	c1	2	phase1a1/aexample-selfplan-r4/prt_f69e7abcc001NnwLm4LER6PUNq#L2
47ed154f380b	c2	3	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#LA
6c9c5ae112bd	c2	1	phase1a2/aexample-selfplan-r1/prt_f6b148a790017PEA6FF9OEQWGC#L2
0b328a94c9c5	c1	1	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#L1
2a6dac2ccd68	c0	3	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#LA
7d13573f6d6f	c2	3	phase1a2/aexample-selfplan-r1/prt_f6b148a790017PEA6FF9OEQWGC#L4
d48201782b14	c0	3	phase2aA2/aex3-selfplan-r6/prt_f6ff73dbd001nZvPs91YRQoMaG#L4
d78031170e72	c1	1	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L1
77be3eacede9	c2	2	phase1a1/aexample-selfplan-r6/prt_f69efe702001JwUHLRhD8R1x33#L2
19807042ba50	c2	2	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#L1
4af5112a92e9	c0	2	phase1a1/aexample-selfplan-r4/prt_f69e7abcc001NnwLm4LER6PUNq#L4
3a369d4f043c	c0	2	phase1a1/aexample-selfplan-r6/prt_f69efe702001JwUHLRhD8R1x33#L2
5a01977ea74f	c0	3	phase1a2/aexample-selfplan-r1/prt_f6b148a790017PEA6FF9OEQWGC#L2
80258a3fe6ac	c1	2	phase1a2/aexample-selfplan-r7/prt_f6b2dea1a00100bc0RDyV8zqt9#L2
1f88f27d5684	c0	1	phase2aA2/aex3-selfplan-r6/prt_f6ff73dbd001nZvPs91YRQoMaG#L4
c795dd11df6b	c2	2	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#L2
63021a5e12ec	c0	2	phase1a2/aexample-selfplan-r7/prt_f6b2dea1a00100bc0RDyV8zqt9#L2
077ebb097e9c	c2	1	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L4
5046931978fe	c1	3	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L0
41ce76ab80d7	c1	1	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#LA
b221a9e59134	c2	2	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#L4
0f16e4757cf0	c2	1	phase1a2/aexample-selfplan-r1/prt_f6b148a790017PEA6FF9OEQWGC#L4
ea45e31f66bb	c1	3	phase1a1/aexample-selfplan-r6/prt_f69efe702001JwUHLRhD8R1x33#L2
aa734b2a73bc	c0	2	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#L2
3f71bd1cb665	c2	2	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#LA
1863e710dd4d	c1	3	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#L2
70cbad4dcffc	c0	1	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#L4
15638b9d3089	c1	2	phase1a1/aexample-selfplan-r6/prt_f69efe702001JwUHLRhD8R1x33#L4
601e966d2e3a	c1	1	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#L0
9d7d8489d0eb	c2	3	phase1a1/aexample-selfplan-r6/prt_f69efe702001JwUHLRhD8R1x33#L4
96016406401d	c2	2	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#L4
569900eb3f0e	c2	2	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#LA
c783db578ea5	c1	2	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L4
c355087b2f82	c1	1	phase1a1/aexample-selfplan-r6/prt_f69efe702001JwUHLRhD8R1x33#L0
2cbaf3efc8ac	c2	1	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#L2
f55d5fac1adc	c2	3	phase1a2/aexample-selfplan-r1/prt_f6b148a790017PEA6FF9OEQWGC#L2
06a70a6cca74	c0	1	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L4
fff8e94c5a3e	c2	1	phase1a1/aexample-selfplan-r6/prt_f69efe702001JwUHLRhD8R1x33#L4
249430442617	c2	1	phase2aA2/aex3-selfplan-r6/prt_f6ff73dbd001nZvPs91YRQoMaG#L0
b3c2d9fece26	c1	1	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#L2
6f9bbe1e5bf9	c2	1	phase1a2/aexample-selfplan-r1/prt_f6b148a790017PEA6FF9OEQWGC#LA
d2566807c5c7	c2	3	phase2aB2/aeb1-selfplan-r7/prt_f70d3ef890011GZ0ebtH2s7no4#L2
de5b1de41b0f	c0	3	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#L2
606183f42c54	c2	2	phase2aA2/aex3-selfplan-r6/prt_f6ff73dbd001nZvPs91YRQoMaG#L2
0372ce2e971c	c2	1	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#LA
b1ef97431685	c0	2	phase1a2/aexample-selfplan-r7/prt_f6b2dea1a00100bc0RDyV8zqt9#L0
dcb6730e9659	c2	2	phase2aB2/aeb1-selfplan-r9/prt_f70dd88af0018RHr2BD8KHyDEQ#L4
1e3d1a8ec0d0	c2	3	phase1a1/aexample-selfplan-r4/prt_f69e7abcc001NnwLm4LER6PUNq#L2
7b27cc262b50	c1	1	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L2
56929b0ba83f	c2	1	phase1a2/aexample-selfplan-r7/prt_f6b2dea1a00100bc0RDyV8zqt9#L4
74d54e71b946	c1	2	phase2aB2/aeb1-selfplan-r7/prt_f70d3ef890011GZ0ebtH2s7no4#L4
8776ac04b258	c2	2	phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L2
1b29c1228ec3	c2	1	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L0
bdf011fecaed	c0	1	phase2aA2/aex3-selfplan-r6/prt_f6ff73dbd001nZvPs91YRQoMaG#LA
0e8a6b490ebe	c2	3	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#L0
65b37e69f6ac	c0	1	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L2
d58a553f26c5	c2	3	phase1a1/aexample-selfplan-r4/prt_f69e7abcc001NnwLm4LER6PUNq#LA
8fb798efeb44	c2	3	phase2aB2/aeb1-selfplan-r9/prt_f70dd88af0018RHr2BD8KHyDEQ#L2
bafab149451e	c2	3	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#L1
fead995da829	c2	3	phase2aB2/aeb1-selfplan-r7/prt_f70d3ef890011GZ0ebtH2s7no4#L1
80d8b8716ceb	c2	3	phase1a2/aexample-selfplan-r7/prt_f6b2dea1a00100bc0RDyV8zqt9#L4
c8ba3fc8f69d	c2	1	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#L1
4ade6ffca261	c0	3	phase1a2/aexample-selfplan-r7/prt_f6b2dea1a00100bc0RDyV8zqt9#L4
6aef4f419ade	c0	3	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#L4
891428a878ac	c2	3	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#L4
58bd552036a2	c2	3	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#L4
3926740aa054	c2	3	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#L2
1d36122e8b1b	c2	3	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#LA
d8b6a19d1b1e	c2	3	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#L2
89724d3ccbcb	c2	2	phase2aB2/aeb1-selfplan-r7/prt_f70d3ef890011GZ0ebtH2s7no4#L0
54aa1f697cec	c1	1	phase1a2/aexample-selfplan-r1/prt_f6b148a790017PEA6FF9OEQWGC#L4
f1ea9f80ab22	c0	1	phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L2
ae9d193c2e9b	c0	3	phase2aB2/aeb1-selfplan-r9/prt_f70dd88af0018RHr2BD8KHyDEQ#LA
b480c3c85797	c2	3	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L4
620e21a1bd16	c1	2	phase1a2/aexample-selfplan-r7/prt_f6b2dea1a00100bc0RDyV8zqt9#L4
3e601cfccebf	c1	3	phase2aB2/aeb1-selfplan-r7/prt_f70d3ef890011GZ0ebtH2s7no4#L2
65816401cb77	c1	1	phase1a1/aexample-selfplan-r6/prt_f69efe702001JwUHLRhD8R1x33#L2
8479c5588bc8	c0	2	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#LA
393eb6a12937	c1	3	phase1a2/aexample-selfplan-r7/prt_f6b2dea1a00100bc0RDyV8zqt9#LA
a378ae6b8ad2	c1	1	phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L0
4883fc995c67	c2	3	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#L4
21a4eeadea0c	c2	1	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#L4
b775753a4d6c	c0	3	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L4
afe86611d4d2	c2	1	phase2aB2/aeb1-selfplan-r7/prt_f70d3ef890011GZ0ebtH2s7no4#L4
a38b25addb7d	c1	1	phase1a2/aexample-selfplan-r1/prt_f6b148a790017PEA6FF9OEQWGC#L2
8648f21ea42d	c2	1	phase2aB2/aeb1-selfplan-r9/prt_f70dd88af0018RHr2BD8KHyDEQ#L2
12c247293b4e	c1	3	phase1a2/aexample-selfplan-r1/prt_f6b148a790017PEA6FF9OEQWGC#L2
0d5c6c976378	c1	3	phase1a2/aexample-selfplan-r1/prt_f6b148a790017PEA6FF9OEQWGC#L1
a855afb7d5e8	c0	2	phase1a2/aexample-selfplan-r7/prt_f6b2dea1a00100bc0RDyV8zqt9#L4
8b42aef634ae	c0	2	phase1a1/aexample-selfplan-r4/prt_f69e7abcc001NnwLm4LER6PUNq#LA
00589a54f0a8	c2	1	phase2aB2/aeb1-selfplan-r9/prt_f70dd88af0018RHr2BD8KHyDEQ#L4
6ba6970a2ce5	c1	1	phase2aB2/aeb1-selfplan-r9/prt_f70dd88af0018RHr2BD8KHyDEQ#L4
18159631f48d	c0	2	phase1a2/aexample-selfplan-r1/prt_f6b148a790017PEA6FF9OEQWGC#LA
e4e1f20c8f2e	c2	2	phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L0
00784f582eb0	c1	2	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L2
55c1ab5df5c0	c1	3	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#L0
f41395cac0ea	c1	1	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#L2
bd5f43896865	c0	2	phase2aB2/aeb1-selfplan-r7/prt_f70d3ef890011GZ0ebtH2s7no4#L4
