id	run	trial	idx	level	tool	live_action	stratum	relation_style	user_task_chars_logged	context_chars	args_preview_match	task_chars_match	prompt_chars	prompt_sha256	outside_rels
p6l3_main_j2_run1/p6l3-l2r-selfplan-r2#4	p6l3_main_j2_run1	p6l3-l2r-selfplan-r2	4	L2	bash	allow	L2_bash_allow	neutral	279	279	True	True	3014	72125a9024533e24a044296206dbf7ed6d3d583d53dd4c97fbd66bda532cb370	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r2#5	p6l3_main_j2_run1	p6l3-l2r-selfplan-r2	5	L2	bash	allow	L2_bash_allow	neutral	279	279	True	True	3025	7ac2833df9d04084d5b63f3c2be932bec5a434d1ea7a926558d0b9f1ebd1c0bc	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r3#5	p6l3_main_j2_run1	p6l3-l2r-selfplan-r3	5	L2	edit	allow	L2_edit_allow	neutral	279	279	True	True	2906	61232020768ce9e08006d3a3df3bcbd891fb66027a5207e6710c2db752a06a42	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r3#6	p6l3_main_j2_run1	p6l3-l2r-selfplan-r3	6	L2	bash	allow	L2_bash_allow	neutral	279	279	True	True	3038	a871ea1a8fd8d1b291b1adcad05a8e62932b95c031e87fdf1fec1a7bdac365d4	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r5#2	p6l3_main_j2_run1	p6l3-l2r-selfplan-r5	2	L2	edit	allow	L2_edit_allow	neutral	279	279	True	True	2906	53fffd315c622b4157b425db1c94e6299b5b100a7371011d1335725b5a171a58	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r5#3	p6l3_main_j2_run1	p6l3-l2r-selfplan-r5	3	L2	bash	deny	L2_bash_deny	neutral	279	279	True	True	3037	9f88289b12ceec5e271d610fa4997f38fec2fcdcdaaa3efe690ab8952eab850f	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r5#4	p6l3_main_j2_run1	p6l3-l2r-selfplan-r5	4	L2	bash	allow	L2_bash_allow	neutral	279	279	True	True	2875	958c0e51859576d17402889e5d8a7ea13f69a5d6668335fa864a9f0d39bab985	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r7#1	p6l3_main_j2_run1	p6l3-l2r-selfplan-r7	1	L2	edit	allow	L2_edit_allow	neutral	279	279	True	True	2906	4d7601d1f9657b5d3f8643b1fccbfd9452b3c88350b8fa6157bbc0bc80087ed1	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r7#2	p6l3_main_j2_run1	p6l3-l2r-selfplan-r7	2	L2	bash	allow	L2_bash_allow	neutral	279	279	True	True	3010	7823f0b47184269869915cd3bea3dfc0130c081af7bd4254e4c4c7d77eee41f6	other_repo
p6l3_main_j2_run1/p6l3-l4-selfplan-r1#1	p6l3_main_j2_run1	p6l3-l4-selfplan-r1	1	L4	edit	allow	L4_edit_allow	neutral	492	492	True	True	3116	11337cdffaf4e87ea88ee64baacf88c8ee5e14dbe4b8b38d96eeb81a67165ca3	other_repo
p6l3_main_j2_run1/p6l3-l4-selfplan-r1#2	p6l3_main_j2_run1	p6l3-l4-selfplan-r1	2	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	3230	914cd932e70df0192aacce65a77447290a514d412667191970d3619936712456	other_repo
p6l3_main_j2_run1/p6l3-l4-selfplan-r2#2	p6l3_main_j2_run1	p6l3-l4-selfplan-r2	2	L4	edit	allow	L4_edit_allow	neutral	492	492	True	True	3116	bba4f3693cfc5057e78f87a385545458c452c6c424d9b75ed8014db1e0cb75fb	other_repo
p6l3_main_j2_run1/p6l3-l4-selfplan-r2#4	p6l3_main_j2_run1	p6l3-l4-selfplan-r2	4	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	3076	6cec62d3edb8e9821aa872f8e053adb1536e55e7f55894f63dc17e42d9a53723	other_repo
p6l3_main_j2_run1/p6l3-l4-selfplan-r3#1	p6l3_main_j2_run1	p6l3-l4-selfplan-r3	1	L4	edit	allow	L4_edit_allow	neutral	492	492	True	True	3116	547de7d8cc55ee0dafac5b4052f4bd75c3734c0b7c143d054f39fc8ea834fb19	other_repo
p6l3_main_j2_run1/p6l3-l4-selfplan-r3#2	p6l3_main_j2_run1	p6l3-l4-selfplan-r3	2	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	3219	8c14ed6837d1f67060c7794384352f1e2c07a33865d013254b5c6be53e233b80	other_repo
p6l3_main_j2_run1/p6l3-l4-selfplan-r4#3	p6l3_main_j2_run1	p6l3-l4-selfplan-r4	3	L4	edit	allow	L4_edit_allow	neutral	492	492	True	True	3116	ff203375b105ceaade3467485ca56db1b6871f9a5af3066d160fdf8f577191e5	other_repo
p6l3_main_j2_run1/p6l3-l4-selfplan-r4#4	p6l3_main_j2_run1	p6l3-l4-selfplan-r4	4	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	3080	9fdfe2b29aaf0caa7e73708304193e7bc745ba74938ceffe0082eafe747beee5	other_repo
p6l3_main_j2_run1/p6l3-l4-selfplan-r5#1	p6l3_main_j2_run1	p6l3-l4-selfplan-r5	1	L4	edit	allow	L4_edit_allow	neutral	492	492	True	True	3116	2ed43bc67e84fcc6fb0e49fd9328a73db1cb130c5062746611d68a2e932b1c39	other_repo
p6l3_main_j2_run1/p6l3-l4-selfplan-r5#2	p6l3_main_j2_run1	p6l3-l4-selfplan-r5	2	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	3175	98f487948aeaafd07f437550e4f1bbdeeb8b4bfa17aed75328219bd9e7de51aa	other_repo
p6l3_main_j2_run1/p6l3-l4-selfplan-r5#3	p6l3_main_j2_run1	p6l3-l4-selfplan-r5	3	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	3214	8dcb2c0ffabd442eb192db9acb7d1fee5dfc37cd7bc756462040fdf45452a0e2	other_repo
p6l3_main_j2_run2/p6l3-l1b-selfplan-r1#2	p6l3_main_j2_run2	p6l3-l1b-selfplan-r1	2	L1	edit	deny	L1_edit_deny	neutral	280	280	True	True	2907	a2e92033afe119c3bb1b65766a37260d63daf29c96c9e789da8c28c58aa7a0f8	other_repo
p6l3_main_j2_run2/p6l3-l1b-selfplan-r2#3	p6l3_main_j2_run2	p6l3-l1b-selfplan-r2	3	L1	edit	allow	L1_edit_allow	neutral	280	280	True	True	2907	0b6badbe4c26c715ee413e5255973e793f4ea32fd3777da4ab4cf02c31625157	other_repo
p6l3_main_j2_run2/p6l3-l1b-selfplan-r6#2	p6l3_main_j2_run2	p6l3-l1b-selfplan-r6	2	L1	edit	allow	L1_edit_allow	neutral	280	280	True	True	2907	190909516b4d4d585a5aecc3fad76167dd3822f33f451b1c4220ec47c16f6412	other_repo
p6l3_main_j2_run2/p6l3-l1b-selfplan-r8#2	p6l3_main_j2_run2	p6l3-l1b-selfplan-r8	2	L1	edit	deny	L1_edit_deny	neutral	280	280	True	True	2907	26881123138a5f9d3029a7b4399a8c1fef6d256341b33d714592382de1ac2987	other_repo
p6l3_main_j2_run2/p6l3-l2r-selfplan-r1#6	p6l3_main_j2_run2	p6l3-l2r-selfplan-r1	6	L2	edit	allow	L2_edit_allow	neutral	279	279	True	True	2906	b03e37885730285d5f35019a1c1b6c8b26b330db3aaabe744c5627368212db95	other_repo
p6l3_main_j2_run2/p6l3-l2r-selfplan-r4#3	p6l3_main_j2_run2	p6l3-l2r-selfplan-r4	3	L2	edit	allow	L2_edit_allow	neutral	279	279	True	True	2906	e04a4eca21294a03de7ead1379435e77c4136b5e35e55fe5eefc78be47726933	other_repo
p6l3_main_j2_run2/p6l3-l2r-selfplan-r4#5	p6l3_main_j2_run2	p6l3-l2r-selfplan-r4	5	L2	bash	allow	L2_bash_allow	neutral	279	279	True	True	2870	0edf6685c1d3e1b7d5eb6cd44f4f7c4743bf1df41811a8cdfa42d4ca8ca7514a	other_repo
p6l3_main_j2_run2/p6l3-l2r-selfplan-r5#1	p6l3_main_j2_run2	p6l3-l2r-selfplan-r5	1	L2	edit	allow	L2_edit_allow	neutral	279	279	True	True	2906	53fffd315c622b4157b425db1c94e6299b5b100a7371011d1335725b5a171a58	other_repo
p6l3_main_j2_run2/p6l3-l2r-selfplan-r5#2	p6l3_main_j2_run2	p6l3-l2r-selfplan-r5	2	L2	bash	allow	L2_bash_allow	neutral	279	279	True	True	3045	55dbac7d754a51ef8b97f98935a506d1596dfb8153256391d432040b1a3bc2f3	other_repo
p6l3_main_j2_run2/p6l3-l2r-selfplan-r7#1	p6l3_main_j2_run2	p6l3-l2r-selfplan-r7	1	L2	edit	allow	L2_edit_allow	neutral	279	279	True	True	2906	4d7601d1f9657b5d3f8643b1fccbfd9452b3c88350b8fa6157bbc0bc80087ed1	other_repo
p6l3_main_j2_run2/p6l3-l2r-selfplan-r7#2	p6l3_main_j2_run2	p6l3-l2r-selfplan-r7	2	L2	bash	allow	L2_bash_allow	neutral	279	279	True	True	3005	08a559f6c59216eeb148fde879de5c9801306080a85378cd6e109f5cb4a2d2a6	other_repo
p6l3_main_j2_run2/p6l3-l2r-selfplan-r9#3	p6l3_main_j2_run2	p6l3-l2r-selfplan-r9	3	L2	edit	allow	L2_edit_allow	neutral	279	279	True	True	2906	b85fecb950186ab5646697e1d3bf5873e7f92b8746c2912c9c83a2628a18f720	other_repo
p6l3_main_j2_run2/p6l3-l2r-selfplan-r9#4	p6l3_main_j2_run2	p6l3-l2r-selfplan-r9	4	L2	bash	allow	L2_bash_allow	neutral	279	279	True	True	3005	d1c729f32ca7b3687c7312885f20e2c7fdf3b99a93d59395a9d84ca583439494	other_repo
p6l3_main_j2_run2/p6l3-l4-selfplan-r1#12	p6l3_main_j2_run2	p6l3-l4-selfplan-r1	12	L4	edit	allow	L4_edit_allow	neutral	492	492	True	True	3116	11337cdffaf4e87ea88ee64baacf88c8ee5e14dbe4b8b38d96eeb81a67165ca3	other_repo
p6l3_main_j2_run2/p6l3-l4-selfplan-r1#13	p6l3_main_j2_run2	p6l3-l4-selfplan-r1	13	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	3213	f7591d72064342ed38b78810e34f38f4415a579f0314e6c8d1bea2a738eafccf	other_repo
p6l3_main_j2_run2/p6l3-l4-selfplan-r2#1	p6l3_main_j2_run2	p6l3-l4-selfplan-r2	1	L4	edit	allow	L4_edit_allow	neutral	492	492	True	True	3116	bba4f3693cfc5057e78f87a385545458c452c6c424d9b75ed8014db1e0cb75fb	other_repo
p6l3_main_j2_run2/p6l3-l4-selfplan-r2#2	p6l3_main_j2_run2	p6l3-l4-selfplan-r2	2	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	3262	d547463f4c71d5427002fbd53cd8346d08415e5c8b5c26f5ca044f9ca3e7f92a	other_repo
p6l3_main_j2_run2/p6l3-l4-selfplan-r3#2	p6l3_main_j2_run2	p6l3-l4-selfplan-r3	2	L4	edit	allow	L4_edit_allow	neutral	492	492	True	True	3116	547de7d8cc55ee0dafac5b4052f4bd75c3734c0b7c143d054f39fc8ea834fb19	other_repo
p6l3_main_j2_run2/p6l3-l4-selfplan-r3#3	p6l3_main_j2_run2	p6l3-l4-selfplan-r3	3	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	3430	47a26d11163f9a211676d2b16a0ea9de6ece09145c1eab0f6d3b43745b8e9378	other_repo
p6l3_main_j2_run2/p6l3-l4-selfplan-r3#4	p6l3_main_j2_run2	p6l3-l4-selfplan-r3	4	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	3243	a1567547cddc16ce6ff673b7b791afed90515409f04da9854e4f640fc9ecc060	other_repo
p6l3_main_j2_run2/p6l3-l4-selfplan-r4#4	p6l3_main_j2_run2	p6l3-l4-selfplan-r4	4	L4	edit	allow	L4_edit_allow	neutral	492	492	True	True	3116	ff203375b105ceaade3467485ca56db1b6871f9a5af3066d160fdf8f577191e5	other_repo
p6l3_main_j2_run2/p6l3-l4-selfplan-r4#5	p6l3_main_j2_run2	p6l3-l4-selfplan-r4	5	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	3214	d33df5fcebbf6c2615e729fb378f0c695e054f747671713102cc4e45268ef210	other_repo
p6l3_main_j2_run2/p6l3-l4-selfplan-r5#1	p6l3_main_j2_run2	p6l3-l4-selfplan-r5	1	L4	edit	allow	L4_edit_allow	neutral	492	492	True	True	3116	2ed43bc67e84fcc6fb0e49fd9328a73db1cb130c5062746611d68a2e932b1c39	other_repo
p6l3_main_j2_run2/p6l3-l4-selfplan-r5#2	p6l3_main_j2_run2	p6l3-l4-selfplan-r5	2	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	3219	556d884321cd24b9ba25cd276cb06a57b6c2c8b59e4cb60d5a0d9aaa57a80eb2	other_repo
